6G,51,90,西安铁路局 宝鸡电力机务段,,
6K,1,85,中国铁路郑州局集团有限公司 洛阳机务段,,
8G,1,1,中国铁路太原局集团有限公司 太原北机务段、侯马机务段、石家庄电力机务段,,
8G,2,2,中国铁道博物馆,,
8G,3,75,中国铁路太原局集团有限公司 太原北机务段、侯马机务段、石家庄电力机务段,,
8G,76,76,中国铁路太原局集团有限公司 太原机务段北场,,
8G,77,96,中国铁路太原局集团有限公司 太原北机务段、侯马机务段、石家庄电力机务段,,
8G,97,97,中国铁路太原局集团有限公司 榆次机务折返段,,
8G,98,100,中国铁路太原局集团有限公司 太原北机务段、侯马机务段、石家庄电力机务段,,
8K,1,1,中国铁路北京局集团有限公司 丰台机务段,,
8K,2,7,*北京铁路局 丰台西段、丰台段；太原铁路局 大同西段、湖东段,,
8K,8,8,中国铁道博物馆,*科技号,
8K,9,17,*北京铁路局 丰台西段、丰台段；太原铁路局 大同西段、湖东段,,
8K,18,18,*北京铁路局 丰台机务段,,
8K,19,23,*北京铁路局 丰台西段、丰台段；太原铁路局 大同西段、湖东段,,
8K,24,24,中国铁路太原局集团有限公司 湖东机务段 大同西运用车间,,
8K,25,64,*北京铁路局 丰台西段、丰台段；太原铁路局 大同西段、湖东段,,
8K,65,65,天津铁道职业技术学院,,
8K,66,71,*北京铁路局 丰台西段、丰台段；太原铁路局 大同西段、湖东段,,
8K,72,72,中国铁路北京局集团有限公司 丰台机务段,,
8K,73,90,*北京铁路局 丰台西段、丰台段；太原铁路局 大同西段、湖东段,,
8K,91,91,中国铁路太原局集团有限公司 太原机务段北场 机车展场,,
8K,92,100,*北京铁路局 丰台西段、丰台段；太原铁路局 大同西段、湖东段,,
CR400AF,21,21,中国铁路北京局集团有限公司 朝阳动车运用所,CR400AF-G,
CR400AF,207,208,中国铁路北京局集团有限公司 北京西动车运用所,,
CR400AF,1001,1002,中国铁路广州局集团有限公司 深圳动车运用所,CR400AF-A,
CR400AF,1003,1003,中国铁路广州局集团有限公司 广州南动车运用所,CR400AF-A,
CR400AF,1004,1004,中国铁路广州局集团有限公司 深圳动车运用所,CR400AF-A,
CR400AF,1005,1005,中国铁路广州局集团有限公司 广州南动车运用所,CR400AF-A,
CR400AF,1006,1006,中国铁路广州局集团有限公司 广州南动车运用所,,
CR400AF,1007,1009,中国铁路广州局集团有限公司 潮州动车运用所,,
CR400AF,1010,1010,中国铁路广州局集团有限公司 广州南动车运用所,,
CR400AF,1011,1014,中国铁路广州局集团有限公司 潮州动车运用所,,
CR400AF,1015,1020,中国铁路广州局集团有限公司 广州南动车运用所,,
CR400AF,1021,1021,中国铁路广州局集团有限公司 潮州动车运用所,,
CR400AF,1022,1025,中国铁路广州局集团有限公司 广州南动车运用所,,
CR400AF,1026,1027,中国铁路广州局集团有限公司 广州南动车运用所,CR400AF-A,
CR400AF,1028,1029,中国铁路广州局集团有限公司 深圳动车运用所,CR400AF-A,
CR400AF,1030,1030,中国铁路广州局集团有限公司 广州南动车运用所,CR400AF-A,
CR400AF,1031,1031,中国铁路广州局集团有限公司 深圳动车运用所,CR400AF-A,
CR400AF,1032,1032,中国铁路广州局集团有限公司 广州南动车运用所,CR400AF-A,
CR400AF,1033,1033,中国铁路广州局集团有限公司 深圳动车运用所,CR400AF-A,
CR400AF,1034,1038,中国铁路广州局集团有限公司 广州南动车运用所,CR400AF-A,
CR400AF,1039,1039,中国铁路广州局集团有限公司 潮州动车运用所,,
CR400AF,1040,1040,中国铁路广州局集团有限公司 广州南动车运用所,,
CR400AF,2002,2002,中国铁路北京局集团有限公司 北京西动车运用所,,
CR400AF,2004,2004,中国铁路北京局集团有限公司 北京西动车运用所,,
CR400AF,2005,2005,中国铁路成都局集团有限公司 重庆西动车运用所,,
CR400AF,2006,2007,中国铁路北京局集团有限公司 北京西动车运用所,,
CR400AF,2008,2008,中国铁路北京局集团有限公司 雄安动车运用所,,
CR400AF,2009,2010,中国铁路北京局集团有限公司 北京西动车运用所,,
CR400AF,2011,2011,中国铁路广州局集团有限公司 长沙动车运用所,,
CR400AF,2012,2012,中国铁路北京局集团有限公司 北京西动车运用所,,
CR400AF,2013,2013,中国铁路成都局集团有限公司 重庆西动车运用所,,
CR400AF,2014,2016,中国铁路北京局集团有限公司 北京西动车运用所,,
CR400AF,2017,2017,中国铁路广州局集团有限公司 长沙动车运用所,,
CR400AF,2023,2023,中国铁路北京局集团有限公司 北京西动车运用所,,
CR400AF,2024,2024,中国铁路广州局集团有限公司 长沙动车运用所,,
CR400AF,2025,2025,中国铁路成都局集团有限公司 重庆西动车运用所,,
CR400AF,2026,2028,中国铁路广州局集团有限公司 长沙动车运用所,,
CR400AF,2030,2030,中国铁路北京局集团有限公司 雄安动车运用所,,
CR400AF,2031,2032,中国铁路成都局集团有限公司 重庆西动车运用所,,
CR400AF,2033,2033,中国铁路北京局集团有限公司 雄安动车运用所,,
CR400AF,2034,2034,中国铁路北京局集团有限公司 北京西动车运用所,,
CR400AF,2035,2038,中国铁路广州局集团有限公司 长沙动车运用所,,
CR400AF,2040,2046,中国铁路广州局集团有限公司 长沙动车运用所,,
CR400AF,2047,2048,中国铁路北京局集团有限公司 北京西动车运用所,,
CR400AF,2049,2049,中国铁路成都局集团有限公司 重庆西动车运用所,,
CR400AF,2051,2051,中国铁路广州局集团有限公司 长沙动车运用所,,
CR400AF,2053,2055,中国铁路广州局集团有限公司 长沙动车运用所,,
CR400AF,2057,2057,中国铁路广州局集团有限公司 长沙动车运用所,,
CR400AF,2058,2058,中国铁路北京局集团有限公司 雄安动车运用所,,
CR400AF,2060,2062,中国铁路广州局集团有限公司 长沙动车运用所,,
CR400AF,2064,2064,中国铁路广州局集团有限公司 长沙动车运用所,,
CR400AF,2065,2066,中国铁路广州局集团有限公司 深圳动车运用所,CR400AF-A,
CR400AF,2067,2068,中国铁路广州局集团有限公司 长沙动车运用所,CR400AF-A,
CR400AF,2069,2069,中国铁路广州局集团有限公司 深圳动车运用所,CR400AF-A,
CR400AF,2070,2070,中国铁路广州局集团有限公司 长沙动车运用所,CR400AF-A,
CR400AF,2071,2071,中国铁路广州局集团有限公司 深圳动车运用所,CR400AF-A,
CR400AF,2072,2072,中国铁路广州局集团有限公司 长沙动车运用所,CR400AF-A,
CR400AF,2073,2073,中国铁路广州局集团有限公司 深圳动车运用所,CR400AF-A,
CR400AF,2074,2076,中国铁路广州局集团有限公司 长沙动车运用所,CR400AF-A,
CR400AF,2077,2079,中国铁路广州局集团有限公司 深圳动车运用所,CR400AF-A,
CR400AF,2080,2084,中国铁路广州局集团有限公司 长沙动车运用所,CR400AF-A,
CR400AF,2085,2085,中国铁路济南局集团有限公司 济南东动车运用所,,
CR400AF,2086,2086,中国铁路济南局集团有限公司 青岛动车运用所,,
CR400AF,2087,2087,中国铁路济南局集团有限公司 济南东动车运用所,,
CR400AF,2088,2090,中国铁路济南局集团有限公司 青岛动车运用所,,
CR400AF,2091,2094,中国铁路济南局集团有限公司 济南东动车运用所,,
CR400AF,2095,2097,中国铁路广州局集团有限公司 长沙动车运用所,CR400AF-A,
CR400AF,2098,2098,中国铁路广州局集团有限公司 深圳动车运用所,CR400AF-A,
CR400AF,2099,2100,中国铁路广州局集团有限公司 长沙动车运用所,CR400AF-A,
CR400AF,2102,2102,中国铁路济南局集团有限公司 济南东动车运用所,CR400AF-A,
CR400AF,2103,2104,中国铁路广州局集团有限公司 长沙动车运用所,CR400AF-A,
CR400AF,2105,2105,中国铁路广州局集团有限公司 深圳动车运用所,CR400AF-A,
CR400AF,2106,2106,中国铁路广州局集团有限公司 长沙动车运用所,CR400AF-A,
CR400AF,2107,2115,中国铁路济南局集团有限公司 济南东动车运用所,CR400AF-A,
CR400AF,2116,2123,中国铁路北京局集团有限公司 北京南动车运用所,CR400AF-B,
CR400AF,2124,2124,中国铁路武汉局集团有限公司 武汉动车运用所,,
CR400AF,2125,2125,中国铁路武汉局集团有限公司 武汉动车运用所,,
CR400AF,2126,2127,中国铁路武汉局集团有限公司 汉口动车运用所,,
CR400AF,2128,2128,中国铁路武汉局集团有限公司 武汉动车运用所,,
CR400AF,2130,2131,中国铁路广州局集团有限公司 长沙动车运用所,,
CR400AF,2133,2133,中国铁路广州局集团有限公司 长沙动车运用所,,
CR400AF,2134,2134,中国铁路济南局集团有限公司 青岛动车运用所,,
CR400AF,2135,2135,中国铁路成都局集团有限公司 重庆西动车运用所,,
CR400AF,2136,2138,中国铁路济南局集团有限公司 青岛动车运用所,,
CR400AF,2139,2139,中国铁路济南局集团有限公司 济南东动车运用所,,
CR400AF,2140,2140,中国铁路成都局集团有限公司 重庆西动车运用所,,
CR400AF,2141,2141,中国铁路济南局集团有限公司 济南东动车运用所,,
CR400AF,2142,2144,中国铁路北京局集团有限公司 北京西动车运用所,,
